GCF	accession	contig	region_number	start	end	products	candidate_cluster_numbers	contig_edge	bgc_class	GBK	Record	source_file
FAM_00355	GCF_000970435.1	NZ_LAJF01000076.1	1	36732	47125	ectoine	1	False	other	NZ_LAJF01000076.1.region001	NZ_LAJF01000076.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_002949085.1	NZ_CP026747.1	6	3970279	3980672	ectoine	6	False	other	NZ_CP026747.1.region006	NZ_CP026747.1.region006.gbk_region_6	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_003056405.1	NZ_PYVZ01000007.1	1	66128	76521	ectoine	1	False	other	NZ_PYVZ01000007.1.region001	NZ_PYVZ01000007.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_004005995.1	NZ_CP034767.1	6	3800032	3812948	hydrogen-cyanide	6	False	other	NZ_CP034767.1.region006	NZ_CP034767.1.region006.gbk_region_6	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_009758415.1	NZ_WQRF01000001.1	2	412304	422697	ectoine	2	False	other	NZ_WQRF01000001.1.region002	NZ_WQRF01000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_014197055.1	NZ_JACIEW010000001.1	2	480976	491369	ectoine	2	False	other	NZ_JACIEW010000001.1.region002	NZ_JACIEW010000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_014837245.1	NZ_JACYFU010000004.1	1	262785	273178	ectoine	1	False	other	NZ_JACYFU010000004.1.region001	NZ_JACYFU010000004.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_014926585.1	NZ_CP045422.1	5	3333854	3344247	ectoine	7	False	other	NZ_CP045422.1.region005	NZ_CP045422.1.region005.gbk_region_5	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_018334155.1	NZ_JAGXTP010000001.1	4	2350722	2361115	ectoine	4	False	other	NZ_JAGXTP010000001.1.region004	NZ_JAGXTP010000001.1.region004.gbk_region_4	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_019504385.1	NZ_CP080590.1	3	900346	910739	ectoine	3	False	other	NZ_CP080590.1.region003	NZ_CP080590.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_024158985.1	NZ_JAMYXP010000001.1	1	453838	464231	ectoine	1	False	other	NZ_JAMYXP010000001.1.region001	NZ_JAMYXP010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_024273195.1	NZ_JAMZCU010000006.1	1	220257	230650	ectoine	1	False	other	NZ_JAMZCU010000006.1.region001	NZ_JAMZCU010000006.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_024273205.1	NZ_JAMWDU010000009.1	1	43284	53677	ectoine	1	True	other	NZ_JAMWDU010000009.1.region001	NZ_JAMWDU010000009.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_027214225.1	NZ_JAPWHK010000001.1	1	333491	343884	ectoine	1	False	other	NZ_JAPWHK010000001.1.region001	NZ_JAPWHK010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_028816435.1	NZ_CP118245.1	4	2047009	2057402	ectoine	4	False	other	NZ_CP118245.1.region004	NZ_CP118245.1.region004.gbk_region_4	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_037113415.1	NZ_CP146608.1	1	291636	302029	ectoine	1	False	other	NZ_CP146608.1.region001	NZ_CP146608.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_040223715.1	NZ_JAVKFR010000022.1	1	129424	139817	ectoine	1	False	other	NZ_JAVKFR010000022.1.region001	NZ_JAVKFR010000022.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_042181575.1	NZ_CP170082.1	6	2780922	2791315	ectoine	8	False	other	NZ_CP170082.1.region006	NZ_CP170082.1.region006.gbk_region_6	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_048261455.1	NZ_JBLXGA010000002.1	1	77784	90712	hydrogen-cyanide	1	False	other	NZ_JBLXGA010000002.1.region001	NZ_JBLXGA010000002.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_051302775.1	NZ_JBNMEO010000008.1	1	75857	86250	ectoine	1	True	other	NZ_JBNMEO010000008.1.region001	NZ_JBNMEO010000008.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_054482695.1	NZ_JBTLRJ010000002.1	1	265477	275870	ectoine	1	False	other	NZ_JBTLRJ010000002.1.region001	NZ_JBTLRJ010000002.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_055808475.1	NZ_CM147870.1	5	2693466	2703859	ectoine	5	False	other	NZ_CM147870.1.region005	NZ_CM147870.1.region005.gbk_region_5	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_900116545.1	NZ_FPCK01000003.1	1	210515	220908	ectoine	1	False	other	NZ_FPCK01000003.1.region001	NZ_FPCK01000003.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_900128975.1	NZ_FQVC01000010.1	2	98300	108693	ectoine	2	False	other	NZ_FQVC01000010.1.region002	NZ_FQVC01000010.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
FAM_00355	GCF_900177655.1	NZ_FXWK01000001.1	1	344977	355370	ectoine	1	False	other	NZ_FXWK01000001.1.region001	NZ_FXWK01000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/other/other_clustering_c0.7.tsv
