GCF_000735585.1	5
GCF_000743575.1	7
GCF_000969445.1	5
GCF_000970435.1	9
GCF_000970455.1	5
GCF_000971295.1	3
GCF_001402915.1	5
GCF_001421945.1	6
GCF_001424865.1	6
GCF_001425235.1	6
GCF_001425445.1	6
GCF_001426345.1	5
GCF_001427605.1	6
GCF_001427875.1	4
GCF_001650025.1	2
GCF_001899045.1	4
GCF_001899065.1	3
GCF_001899075.1	6
GCF_001899085.1	6
GCF_002949085.1	6
GCF_003056345.1	5
GCF_003056355.1	5
GCF_003056405.1	6
GCF_004005995.1	6
GCF_005222805.1	7
GCF_007859655.1	6
GCF_009758415.1	8
GCF_012847305.1	7
GCF_013185955.1	5
GCF_013185965.1	5
GCF_014127105.1	5
GCF_014197055.1	6
GCF_014652635.1	5
GCF_014837245.1	5
GCF_014926585.1	7
GCF_015158295.1	5
GCF_015234425.1	4
GCF_016411825.1	3
GCF_016457235.1	5
GCF_016461625.1	5
GCF_016595685.1	5
GCF_016698645.1	3
GCF_016698665.1	5
GCF_017307475.1	6
GCF_017307495.1	4
GCF_017307535.1	6
GCF_018334155.1	6
GCF_019504385.1	7
GCF_021729885.1	6
GCF_022429625.1	5
GCF_024158985.1	6
GCF_024273195.1	8
GCF_024273205.1	8
GCF_024707105.1	5
GCF_025452235.1	5
GCF_025809055.1	5
GCF_027214225.1	7
GCF_028290435.1	6
GCF_028290625.1	5
GCF_028613635.1	2
GCF_028816435.1	6
GCF_029201545.1	5
GCF_029201565.1	4
GCF_030159855.1	4
GCF_030160115.1	7
GCF_030177755.1	4
GCF_030285925.1	2
GCF_032907385.1	6
GCF_037113415.1	6
GCF_040223715.1	8
GCF_040546795.1	8
GCF_040546815.1	2
GCF_042181575.1	9
GCF_042431865.1	7
GCF_042648785.1	4
GCF_042679405.1	4
GCF_042685625.1	3
GCF_044987315.1	4
GCF_046614475.1	5
GCF_048261455.1	6
GCF_049354815.1	3
GCF_051302775.1	6
GCF_053550215.1	4
GCF_054482695.1	8
GCF_054489345.1	6
GCF_054489375.1	6
GCF_054605195.1	5
GCF_055397495.1	4
GCF_055633315.1	5
GCF_055808475.1	6
GCF_055808595.1	5
GCF_056341075.1	4
GCF_056402875.1	3
GCF_056403495.1	3
GCF_056405135.1	3
GCF_057657195.1	5
GCF_058133495.1	5
GCF_058133665.1	5
GCF_058806655.1	7
GCF_059070485.1	4
GCF_900110945.1	3
GCF_900112505.1	8
GCF_900116545.1	6
GCF_900128975.1	9
GCF_900177655.1	8
GCF_900631955.1	4
GCF_964252795.1	6
GCF_964252865.1	4
GCF_965229025.1	4
GCF_977014175.1	4
